ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2326c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/95a6-2326c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/3972-2326c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/015b-2326c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/a2b9-2326c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/fff3-2326c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2326ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,543 cm,1,1,Larghezza,344 cm,1,1,Età,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"54\,8 m2",1,1,Altezza di Caduta Libera,228 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,30 kg,1,1,Dimensioni delle parti,10x10x350 cm,,,,,,,Tempo di installazione,1 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5676,simple,,WORKOUT 2327,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2327c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/74e7-2327c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/4907-2327c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/b8f4-2327c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/b5c0-2327c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/bdfd-2327c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/d4d7-2327ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,608 cm,1,1,Larghezza,499 cm,1,1,Età,251 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"64\,6 m2",1,1,Altezza di Caduta Libera,228 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,30 kg,1,1,Dimensioni delle parti,10x10x360 cm,,,,,,,Tempo di installazione,2 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5677,simple,,WORKOUT 2328,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2328c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/849f-2328c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/5138-2328c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/e416-2328c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/fff1-2328c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/bb52-2328c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/d57e-2328ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,789 cm,1,1,Larghezza,600 cm,1,1,Età,347 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"84\,4 m2",1,1,Altezza di Caduta Libera,245 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,38 kg,1,1,Dimensioni delle parti,4x4x450 cm,,,,,,,Tempo di installazione,1 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5678,simple,,WORKOUT 2329,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2329c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/091a-2329c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/b8f6-2329c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/dedd-2329c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/4333-2329c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/7561-2329c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/3f20-2329ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1137 cm,1,1,Larghezza,789 cm,1,1,Età,351 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"129\,1 m2",1,1,Altezza di Caduta Libera,249 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,38 kg,1,1,Dimensioni delle parti,10x10x460 cm,,,,,,,Tempo di installazione,"3,5 ore",,,Disponibilità di ricambi,YES,1,1,,,,

5679,simple,,WORKOUT 2399,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2023/12/2399c31s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/bbdf-2399c81s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/472a-2399c121s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2399c161s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2399c171s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2399c181s.jpg, https://www.play-lab.it/wp-content/uploads/2023/12/2399ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,104 cm,1,1,Larghezza,12 cm,1,1,Età,204 cm,1,1,Età,,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,,1,1,Altezza di Caduta Libera,,1,1,In conformità alla norma EN,,1,0,Tempo di installazione,,1,1,Dimensioni delle parti,,,,,,,,Tempo di installazione,"6,0 ore",,,Disponibilità di ricambi,YES,1,1,,,,

5680,simple,,WORKOUT RB2301,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/1b4f-rb23011s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,198 cm,1,1,Larghezza,69 cm,1,1,Età,72 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"16\,4 m2",1,1,Altezza di Caduta Libera,72 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,32 kg,1,1,Dimensioni delle parti,181x55x72 cm,,,,,,,Tempo di installazione,6 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5681,simple,,WORKOUT RB2302,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/rb23021s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,198 cm,1,1,Larghezza,75 cm,1,1,Età,130 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"16\,7 m2",1,1,Altezza di Caduta Libera,112 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,49 kg,1,1,Dimensioni delle parti,182x4x112 cm,,,,,,,Tempo di installazione,"6,5 ore",,,Disponibilità di ricambi,YES,1,1,,,,

5682,simple,,WORKOUT RB2303,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/rb23031s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,198 cm,1,1,Larghezza,131 cm,1,1,Età,130 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"19\,5 m2",1,1,Altezza di Caduta Libera,112 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,49 kg,1,1,Dimensioni delle parti,182x4x112 cm,,,,,,,Tempo di installazione,"8,5 ore",,,Disponibilità di ricambi,YES,1,1,,,,

5683,simple,,WORKOUT RB2304,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/08c1-rb23041s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,354 cm,1,1,Larghezza,19 cm,1,1,Età,138 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"19\,0 m2",1,1,Altezza di Caduta Libera,127 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,57 kg,1,1,Dimensioni delle parti,18x18x250 cm,,,,,,,Tempo di installazione,12 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5684,simple,,WORKOUT RB2305,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/rb23051s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,153 cm,1,1,Larghezza,89 cm,1,1,Età,90 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"14\,7 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,40 kg,1,1,Dimensioni delle parti,170x4x55 cm,,,,,,,Tempo di installazione,10 ore,,,Disponibilità di ricambi,YES,1,1,,,,

5685,simple,,WORKOUT RB2306,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/6dc3-rb23061s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,160 cm,1,1,Larghezza,89 cm,1,1,Età,90 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"14\,9 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,40 kg,1,1,Dimensioni delle parti,170x4x55 cm,,,,,,,Tempo di installazione,,,,Disponibilità di ricambi,YES,1,1,,,,

5686,simple,,WORKOUT RB2307,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>la resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Arredo urbano, Arredo urbano > Fitness",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2023/12/rb23071s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,175 cm,1,1,Larghezza,18 cm,1,1,Età,250 cm,1,1,Età,14+ years,1,1,Numero di Utenti,,1,1,Zona di Sicurezza,"14\,0 m2",1,1,Altezza di Caduta Libera,130 cm,1,1,In conformità alla norma EN,16630:2015,1,0,Tempo di installazione,81 kg,1,1,Dimensioni delle parti,18x18x350 cm,,,,,,,Tempo di installazione,"1,5 ore",,,Disponibilità di ricambi,YES,1,1,,,,

5687,simple,,WORKOUT RB2308,1,1,visible,"Strutture in acciaio con numerosi bar e elementi creati per l'allenamento con il peso del proprio corpo. Design moderno, materiali durevoli e opzioni di colore, perfetti per creare un moderno campo sportivo.","<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>dispositivo destinato alle palestre pubbliche all'aperto;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o altre parti del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
